filename,width,height,class,xmin,ymin,xmax,ymax
001_1.jpg,2048,1536,Tiger,148.0,406.0,1651.0,1104.0
002_758.jpg,2048,1536,Tiger,730.0,524.0,1950.0,1136.0
002_76.jpg,3264,2448,Tiger,1928.0,850.0,3259.0,2213.0
002_761.jpg,2048,1536,Tiger,1.0,582.0,648.0,1016.0
002_762.jpg,2048,1536,Tiger,138.0,564.0,1003.0,995.0
002_763.jpg,2048,1536,Tiger,605.0,558.0,1283.0,957.0
002_764.jpg,2048,1536,Tiger,1081.0,474.0,1715.0,886.0
002_765.jpg,2048,1536,Tiger,1282.0,472.0,1902.0,830.0
002_766.jpg,2048,1536,Tiger,1557.0,448.0,1957.0,774.0
002_768.jpg,2048,1536,Tiger,416.0,421.0,1528.0,1019.0
002_769.jpg,2048,1536,Tiger,414.0,417.0,1500.0,1020.0
002_770.jpg,2048,1536,Tiger,0.0,515.0,1106.0,1066.0
002_771.jpg,2048,1536,Tiger,0.0,404.0,756.0,1093.0
002_757.jpg,2048,1536,Tiger,418.0,549.0,1642.0,1194.0
002_773.jpg,2048,1536,Tiger,0.0,550.0,989.0,1105.0
002_754.jpg,2048,1536,Tiger,82.0,485.0,1150.0,1202.0
002_795.jpg,2048,1536,Tiger,706.39,59.0,2048.0,1262.0
002_796.jpg,2048,1536,Tiger,1038.0,79.0,2048.0,1454.0
002_797.jpg,2048,1536,Tiger,1042.0,86.0,2048.0,1450.0
002_798.jpg,2048,1536,Tiger,1041.0,94.0,2048.0,1443.0
002_799.jpg,2048,1536,Tiger,1402.0,122.0,2048.0,1514.0
002_8.jpg,3264,1832,Tiger,797.0,1183.0,2728.0,1732.0
002_80.jpg,3264,2448,Tiger,1808.0,973.0,3259.0,1937.0
002_800.jpg,2048,1536,Tiger,1739.0,571.0,2046.0,1282.0
002_775.jpg,2048,1536,Tiger,989.0,577.0,1866.0,1028.0
002_749.jpg,2048,1536,Tiger,3.0,610.0,560.0,1322.0
002_774.jpg,2048,1536,Tiger,3.0,546.0,1200.0,1071.0
002_75.jpg,3264,2448,Tiger,1614.0,536.0,2448.0,1091.0
002_752.jpg,2048,1536,Tiger,0.0,587.0,1004.0,1288.0
002_753.jpg,2048,1536,Tiger,78.0,503.0,1182.0,1206.0
002_755.jpg,2048,1536,Tiger,147.0,592.0,1213.0,1198.0
002_692.jpg,3264,2448,Tiger,1039.0,347.0,2153.0,2142.0
002_690.jpg,3264,2448,Tiger,880.0,47.0,2448.0,1970.0
002_58.jpg,3264,2448,Tiger,1205.0,670.0,3244.0,2198.0
